,sco
logistic_Acc,0.9266666666666666
logistic_F1,0.9245310245310243
logistic_Rec,0.9266666666666666
logistic_Pre,0.9232752136752136
naivebayes_Acc,0.61
naivebayes_F1,0.6351427147525548
naivebayes_Rec,0.61
naivebayes_Pre,0.7076457431457432
randomforest_Acc,0.97
logistic_F1,0.9698417902534984
naivebayes_Rec,0.97
randomforest_Pre,0.9716770186335403
