,Score
logistic_Acc,1.0
logistic_F1,1.0
logistic_Rec,1.0
logistic_Pre,1.0
naivebayes_Acc,0.9566666666666667
naivebayes_F1,0.9566315888267108
naivebayes_Rec,0.9566666666666667
naivebayes_Pre,0.9566188797493146
Randomforest_Acc,1.0
Randomforest_F1,1.0
Randomforest_Rec,1.0
Randomforest_Pre,1.0
XGBClassifier_ACC,1.0
XGBClassifier_F1,1.0
XGBClassifier_REC,1.0
XGBClassifier_Pre,1.0
SVM_ACC,1.0
SVM_F1,1.0
SVM_REC,1.0
SVM_REC,1.0
